RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
722566|686821|1264615|173281|325901|0|0|875567|887131|0|0|0|0|0|0|||||
720604|441535|419493|||0|0|0|0|0|0|0|0|0|0|||||
722316|470095|741875|0||1649570|1720189|569236|560146|0|0|4704|15384|0||||||
716029|39283|44168|||0|0|1309|1309|0|0|0|0|0|0|||||
709399|1399828|1130818|||||0|0|0|0|||||||||
725281|149210|175887|||0|0|0|0|0|0|0|0|0|0|||||
726596|31130|40604|||0|0|0|0|0|0|0|0|0|0|||||
727524|265334|223571|||0|0|0|611|0|0|0|0|0|0|||||
721940|131438|88102|0||108414|93244|398449|398449|0|0|0||0||||||
721828|38209|51637|||0|0|6838|6838|0|0|0|0|0|0|||||
717171|91491|104647|||0|0|135000|135000|0|0|0|0|0|0|||||
714048|23590|23685|||0|0|2665|2665|0|0|0|0|0|0|||||
717246|146066|135771|||0|0|2591|2591|0|0|0|0|0|0|||||
728440|178773|180481|||0|0|373|1549|0|0|0|0|0|0|||||
724592|5940|11202|||0|0|0|0|0|0|0|0|0|0|||||
729734|98499|109490|0|0|0|0|0|0|0|0|0|0|0|0|||||
730135|241815|300645|||||17315|3000|0|0|||||||||
720034|54305|65627|||0|0|0|0|0|0|0|0|0|0|||||
721608|35445|36297|||0|0|0|0|0|0|12977|12923|0|0|||||
732014|60939|65009|||0|0|0|0|0|0|0|0|0|0|||||
739269|29335|35083|||0|0|0|0|0|0|0|0|0|0|||||
721092|25080|12628|||0|0|642|428|0|0|0|0|0|0|||||
685204|4665767|4655392|0|13124|0|0|6029119|5974297|0|0|0|0|0|0|||||
711534|2358208|2367745|||||368586|340537|0|0|3415|3415|||||||
720775|44913|38683|||0|0|1005|1005|0|0|0|0|0|0|||||
729687|29301|18935|||0|0|0|0|0|0|0|0|0|0|||||
726086|66137|66712|||0|0|46011|44114|0|0|0|0|0|0|||||
722707|18305|18938|||0|0|0|0|0|0|0|0|0|0|||||
721204|51542|49487|||0|0|0|0|0|0|0|0|0|0|||||
712963|36384|26907|||3001|3034|0|0|0|0|0|0|0|0|||||
710905|1205917|1055454|0|0||0|10352|10507|0|0|2768|2768||0|||||
723601|55899|63869|||0|0|0|0|0|0|0|0|0|0|||||
