RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
552498|343169|0||0||0|0|0|0||0|0|0||
554933|333184|0||0||3036|0|0|0||69238|0|0||2553
543102|40151|0|0|||68|||0||9943||||
546324|39710|0|0|||15|||0||75||||
537346|22951|0|0|||209|||0||0||||
542762|203691|0|0|||0|||0||160||||
557120|12596|0|0|||14|||0||0||||
548767|83130|0|0|||116|||3250||6301||||
537367|28619|0|0|||503|||0||0||||
543927|8795|0|0|||3|||0||0||||
556036|130332|0|0|||99|||0||3505||||
545049|4704607|0|855473|0||59711|20454|266742|107040|0|261647|0|0|1016061|12382
540200|8180|0|0|||0|||0||0||||
549791|1028313|0|967998|0||39503|7093|0|140960||0|0|0||
544999|660738|0|0|0|0|52|0|0|22938|0|2851|0|0||2851
550088|354155|0||0||13|0|0|0||12114|0|0||12114
530461|9451960|0|0|0|32935|10684|0|0|0||1644282|0|0|0|3207
536814|23885|0|0|||0|||0||0||||
533690|1931488|0|0|0|0|16842|0|0|0||331790|82011|0||
554887|536359|34679|0|0|0|0|0|0|14122|0|28129|0|0||9204
539531|30790|0|0|||5|||0||0||||
549631|166959|0||1372||320|0|0|345||800067|0|153||84373
549440|9659|0|0|||0|||0||2448||||
537891|83409|0|0|||99|||0||0||||
540789|60294|0|0|||178|||0||0||||
554196|2326|0|0|||3|||0||0||||
548968|9990|0|0|||98|||0||0||||
552400|21867|0|0|||0|||0||0||||
553292|6676|0|0|||0|||0||0||||
538119|48518|0|0|||223|||0||3606||||
553730|5656|0|0|||0|||0||0||||
540816|0|0|0|||0|||0||30550||||
546723|33010|0|0|||20|||0||706||||
536051|38792|0|0|||0|||0||26418||||
542992|372574|0||0|0|0|0|8650|11264|0|58240|0|0||15200
546112|122745|0|0|||3|||0||4040||||
534641|1347075|0|1000|3988|0|28643|0|0|0|0|5745|0|0||640
539805|0|9750|0|||0|||5500||23750||||
551202|28389|0|0|||12|||0||0||||
532305|0|213292|0|0|0|754|0|0|0|0|297593|0|0||17555
548717|7003|0|0|||0|||0||738||||
573926|30975|0|0|||0|||0||288||||
553689|62917||||||||||22293||||
546563|0|154370||0||2830|0|0|429488|0|357|0|0||357
554876|0|10200|0|||14|||0||0||||
563023|107905|0|0|||0|||0||50||||
557535|75784|0|0|||24|||0||0||||
561338|0|0||0||0|0|0|0||0|0|0||
545100|14878|0|0|||0|||0||0||||
555308|4986378|0|270000|0||28|0|0|181||763352|0|56509||61492
548412|31000|0|0|||8|||0||0||||
544994|31431|0|0|||0|||0||406||||
541318|38211|0|0|||5|||0||82||||
548931|791286|0|648697|0||15179|0|0|14864||33387|0|472391|0|33387
562968|174830|0|0|||0|||0||0||||
551669|169656|0|0|||37|||0||5021||||
545749|55837|0|0|||0|||0||0||||
548983|3349889|0|0|0|2000|27427|0|42394|0|175000|1826341|19586|0||6523
546712|4171486|0|9708|0|0|9435|36284|0|0|0|20673|0|0|99504|15236
540099|197500|0|0|||16|||0||262||||
538745|0|0|0|||65|||0||2938||||
556248|35494||||||||||6455||||
557397|8522|0|0|||0|||23518||2730||||
538293|700|0|0|||0|||0||665||||
548093|916509|0|3328|5003|0|7078|621|0|10981|0|16048|0|9804|0|
542043|63169|0|0|||0|||0||34238||||
533183|17569|0|0|||0|||0||113||||
574021|3083193|0||0||695|0|0|0|428810|100500|0|0||
549484|5036661|0|8745|0||174|79710|0|318866|0|139022|31|0||2872
529219|2899551|678797|100242|560|0|1640|71291|0|41685|0|47225|0|0||47225
528822|61760|0|0|||4|||0||0||||
544272|25330|0|0|||0|||0||634||||
542473|1289686|0|0|0|0|9607|0|0|19979|0|372484|0|352|103186|144483
557441|53720|0|0|||9|||0||4606||||
545593|72413|0|0|||10|||0||8443||||
550018|77681|0|0|||149|||0||1387||||
543374|24680|0|0|||23|||0||169||||
541826|320380|0|0|100|0|96|0|0|700|0|53881|0|0||5059
550673|890818|0|0|0|0|5|0|0|291385||291973|0|0|0|14844
542381|27861|0|0|||24|||0||0||||
543196|0|342820||0||0|0|840|0||115544|144062|26494||5697
553821|2079369|0|0|0||3927|0|0|175||57121|0|795||10992
545408|12982|0|0|||28|||0||88898||||
544252|0|285884|10000|0|0|0|0|0|0||146500|1124672|0||11301
541050|33660|0|6910|||2306|||722||6300||||
555973|155933|0|0|||129|||100||21206||||
551217|85446|0|0|||9|||0||4360||||
545374|27361||19447|||3|||||1341||||
550852|76862|0|0|||9165|||0||34900||||
546439|40461|0|0|||5665|||0||36532||||
540077|14667|0|0|||511|||0||36721||||
551089|36695|0|0|||227|||0||271||||
554781|3479|0|0|||0|||0||176||||
546887|1730057|0||0||0|0|0|0||723608|0|0||0
541038|63803|0|0|||4|||0||897||||
535201|103845|0|0|||5|||0||0||||
546017|804617|0|34800|0|0|9240|2192|3000|0||16557|0|0||0
548842|2004418|0|173000|0|0|15536|0|0|0||63966|0|30109|0|21104
547096|2860299|0|8000|0|0|0|27856|77717|0|0|490814|0|0|144874|393457
546617|9213|0|0|||140|||10||833||||
543932|14749|0|0|||23|||0||726||||
572309|20055|0|0|||5|||0||113||||
553892|13202|0|0|||0|||10||922||||
540029|9605|0|0|||3|||6||39||||
559143|0|0||0||0|0|0|0||0|0|0||
557170|35408||||||||||||||
536915|5840|0|0|||35|||0||0||||
559810|478|0|0|||0|||0||0||||
552813|10259|0|0|||0|||0||68||||
549752|1169362|0|1556761|1156|0|29510|25109|17157|44594|0|123528|3500|29334||19092
559984|18117|0|0|||0|||0||2||||
534944|318012|0|133745|0|42088|38643|0|66495|5037|0|44854|0|0|154192|216
548706|483898|0|13200|0|0|493|0|0|0|0|125272|0|14050||2272
555316|19808|0|0|||0|||0||0||||
555929|24632|0|0|||76|||0||284||||
595602|18013|0|0|||5|||65927||844||||
551015|36433|0|0|||0|||0||0||||
537057|167189|0|0|||0|||0||275||||
537326|14323|0|0|||23|||0||0||||
537515|19780|0|0|||25|||0||1032||||
536458|51086|0|0|||229|||0||608||||
540379|27316|0|0|||0|||0||4506||||
544767|43100|0|0|||94|||0||690||||
542298|73831|0|0|||57|||0||0||||
537606|25821|13274|0|||3789|||0||0||||
537420|32215|0|0|||9|||0||0||||
537673|205059|0|1179|||14382|||0||349||||
541697|7673|0|0|||0|||0||1010||||
537605|197838|0|0|||94|||0||0||||
556029|38115||||||||||925||||
534206|3861|2695|0|||42|||0||506||||
543233|22043|0|0|||0|||0||0||||
541381|72951|0|0|||2913|||0||1300||||
540788|118368|0|0|||77|||2854||401||||
537660|17624|0|0|||871|||0||0||||
537713|12886|0|0|||818|||0||207||||
540268|6720|0|0|||11|||0||0||||
602777|112193|0|0|||19|||200||0||||
537484|16734|0|0|||130|||0||0||||
544043|15341|0|0|||34|||0||666||||
539908|245686|0|0|||142|||322||0||||
601348|96112|0|0|||3|||0||0||||
559373|45877|0|0|||0|||0||4964||||
534881|231375|0|611395|1447||32968|44681|0|1083073||4245|0|0||4245
552077|13671|0|0|||0|||0||0||||
547890|0|1429272|0|0|0|72|0|1400|0|0|63501|0|252000||14441
542299|0|27483|0|||106|||10688||437||||
546353|12090|0|0|||64|||0||0||||
541232|1752358|0||0||862|0|0|0||0|0|0||
537540|68767|0|0|||1580|||0||0||||
553725|27494|||||18|||||||||
548803|440394|0||0||63|0|0|0||24315|0|0||0
540589|77867|0|0|||0|||0||2250||||
542521|0|0|0|||0|||0||0||||
561380|164368|0|0|||104|||0||816||||
545804|32387|0|0|||0|||0||0||||
535888|62456|0|0|||1150|||0||0||||
535685|139199|0|0|||217|||640||3626||||
541806|13358|0|0|||37|||0||831||||
545485|56724|0|0|||0|||0||0||||
541576|0|0|0|0|0|0|0|0|0||0|0|0||0
561147|14487|0|0|||0|||0||0||||
534460|2514852|0|0|0|0|451|0|39645|0|166158|1249378|0|0||63204
536100|125913|0|0|||10|||0||0||||
545871|9733|0|0|||0|||0||3351||||
530265|277860|0|0|0|0|2626|0|0|544115|0|0|0|0|0|
539485|52338|0|0|||0|||0||0||||
549986|13585|0|0|||0|||0||1742||||
542945|53964|493|0|||0|||0||13477||||
534892|295285|0||0|0|10588|0|0|0||199300|0|0||120
535847|1287269|0|0|0|0|0|0|12933|0|0|308650|0|0||
553497|28177|0|0|||434|||0||0||||
572148|30906|0|0|||0|||0||0||||
542353|28378|0|0|||0|||0||21542||||
557398|59832|0||0||10|0|0|0||9|0|0||9
532998|119903|0|0|||0|||0||0||||
549510|810656|0|0|0|0|175|68|0|0|0|0|0|145983|0|
