RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
507470|193224|759|1319|422832|38710|0|0|0|0||0|0|280598|1295|91583|9505|||13604||8490|0|||||14163|759|1319|9594|424|||
513468|||0||||||||||57354|8700|0|0|0|||2171|0|||0||||||||13664||2861
522990|||||||||||||1624|14329|977|||||3892|4254|||||||||||1356||
520154|2121677|18161|300181|676763|321086|770784|85181|0|0||163143|0|838016|955721|1867674|1313807|||47676||710820|768925|1859|449449|321335|7962490|20213||113689|131862|29614|||
501168|112228|8706|2710|0|168996|54951|0|0|0||16563|0|119689|160435|0|147466|0||0||53966|55865|-914|||0|15037|1230|2710|0|36719|||
597186|13580|1074|55170|173512|700552|181802|6452|0|0||65359|0|269988|322030|17531|260379|||0||140883|181897|-95|17453|8437||||8840|76164|168272|||
509747|||20||||||||||239|3136|0|0|0|||1375|0|||||||||||1122||0
535737|4778|0|0|1999|1076|979|0|0|0||811|0|4910|3000|7993||||0||1636|1066|-87|351|628|0||||1999|238|||
509361|||0||||||||||0|3000|0|0|0|||68516|0|||0||||||||0||0
503578|482014|11309|108280|97882|205584|188527|0|0|0||45607|0|386007|246377|710784|971776|||0||134237|189679|-1152|134828|53700||40556|10225|47985|55527|1375|||
529221|187922|0|700|13349|0|13359|0|0|0||15435|0|40036|34118||15806|||0||112706|13359||1549|11810||27739||700|13349||||
518782|||700||||||||||9545|46752|0|535|0|||15106|0|||12900||||||||16839||0
510064|||0||||||||||156739|15565|0|0|0|||10083|0|||||||||||8916||0
522673|2572047|40338|10098|300776|202040|602030|0|0|0||219649|0|1407888|259064|2205|1178870|||7311||1496642|602030||109237|492793||137603|550|5335|101022|18483|||
514585|||71||||||||||38421|0|0|0|0|||2999|0|||||||||||208||0
522302|68678|7478|0|80569|141998|49274|0|0|0||15675|0|141363|112827|356035|34350||0|0||35787|49274||26160|8977||1777|||53721|14179|||
514037|||0||||||||||0|6736|0|1338|0|||0|0|||||||||||946||0
523906|||0||||||||||67516|16440|0|0|0|||29503|21043|||||||||||138||680
519453|262824|42584|38549|142089|102847|127034|0|0|0||26988|0|208938|393268|180000|225571|||0||76532|127034|||||26167|4212|18456|20908|15583|||
509683|||2558||||||||||383|15384|0|0|0|||5833|0|||||||||||2459||308
523151|||0||||||||||36054|7762|0|0|0|||4658|0|||||||||||2156||0
523223|||191||||||||||18419|6833|0|0|0|||310|0|||||||||||1556||0
519492|278718|10445|6739|63737|375040|143528|43793|0|0||79588|0|983308|165697|3128|98403|0|0|0||182051|144278|-750|75010|68518||52378|2202|6739|15002|77299|||
506636|||49||||||||||6502|1000|0|0|0|||0|0|||0||||||||848||0
508555|||1875||||||||||16937|5991|144421|0|0|||1812|15709|||||||||||11726||7970
517770|235527|2466|19006|153953|177582|76754|1060|3889|0||46969|0|744224|169282|2819|68927|||0||82608|77794|-1040|39408|37346||31408|1294|11861|50444|18979|||
529049|||6279||||||||||77159|4683|0|1700|0|||8919|0|||536||||||||17376||6245
600438|||0||||||||||0|36091|0|0|0|||10525|0|||||||||||6801||13690
508686|||1370||||||||||706|84690|0|7200|0|||32769|15720|||15427||||||||50139||8905
514303|||0||||||||||0|4996|508|0|0|||892|0|||324||||||||765||0
504699|267766|8224|8224|81576|139888|109484|0|0|0||43497|0|266382|165340|62934|215651|0|0|0||38353|111309|-1825|93032|16452|0|19306|0|0|22830|68291|||
507219|||1771||||||||||150785|2449|435|0|0|||921|737|||0||||||||448||1090
504703|148368|0|960|71286|108483|48573|0|0|0||31234|0|112254|194397|50193|130320|0|4192|0||44706|47180|1393||||5335|0|960|38318|28005|||
516998|||200||||||||||37055|25227|0|0|0|||6546|0|||6396||||||||7111||780
528547|||0||||||||||85678|566|0|0|0|||7126|334|||0||||||||14508||2415
512872|294877|2940|50|154423|51492|42969|12000|0|3666||37296|18585|192119|296446|1862|217573|||0||89780|42044|925|0|||29128|0|50|40844|4917|||
464694|45314|62|0|60285|17494|18954|0|0|0||13936|0|0|42534||16910|||2290||10860|18954||15080|3874||2307|0|0|4429|0|||
529070|0|0|3860|163056|159864|161985|0|7861|0||0|0|88930|115380|35066|125293||1113|0||51284|149816|12169||||||3860|143676||||
504356|24114|0|3450|84409|351599|41914|16374|13591|100308||32022|0|99700|109730|31850|170361|||0||53906|46375|-4461|28389|13525||10301|0|3450|63692|180578|||
522955|||||||||||||13855|32122||20597||||||||||||||||13777||13124
523591|||0||||||||||0|0|344|0|0|||13741|0|||||||||||5909||0
510444|||0||||||||||0|4908|0|0|0|||1942|0|||||||||||1184||0
507056|||0||||||||||0|15032|0|0|0|||500|0|||||||||||8465||0
523582|||0||||||||||0|0|0|30|0|||47643|0|||0||||||||0||0
513164|||0||||||||||3503|28464|0|0|0|||7923|0|||||||||||9170||0
506941|||0||||||||||9987|1198|0|0|0|||2130|0|||||||||||170||0
