OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
249380|1103|375.00|INIT|N/A|N/A|504349
249381|1104|10.00|TRANS|N/A|N/A|504349
249382|1105|N/A|N/A|N/A|N/A|504349
249509|1101|429|year|429|429|504379
249510|1102|||||504379
249511|1103|||||504379
249512|1104|||||504379
249513|1105|||||504379
249534|1101|Various|Qtrly.|75|925|504393
249535|1103|||||504393
249536|1104|||||504393
249537|1105|||||504393
249566|1101|33.00|Month|8.40|33.00|504422
249567|1102|||||504422
249568|1103|800|Once|500|800|504422
249569|1104|||||504422
249570|1105|5.00|Week|||504422
249620|1101|0|-|5.00|20.00|504438
249621|1102|3%|of total pkg|0|0|504438
249622|1103|0|-|0|0|504438
249623|1104|0|-|0|0|504438
249624|1105|0|-|0|0|504438
249952|1101|$40.30|MONTH|$40.30|$40.30|504549
249953|1102|5.25%|GROSS WAGES|5.25%|5.25%|504549
249954|1103|$200|APP'CT|$200|$200|504549
249955|1104|N/A|N/A|N/A|N/A|504549
249956|1105|N/A|N/A|N/A|N/A|504549
249985|1101|15.80|MONTH|15.80|15.80|504556
249986|1102|N/A|N/A|N/A|N/A|504556
249987|1103|50-300|TIME|50|300|504556
249988|1104|N/A|N/A|N/A|N/A|504556
249989|1105|N/A|N/A|N/A|N/A|504556
249999|1101|42.80/43.80|MONTH|24.50|43.80|504559
250000|1102|5.25%|GROSS WAGES|5.25%|5.25%|504559
250001|1103||INITIATION|125.00|500.00|504559
250002|1104|||||504559
250003|1105|||||504559
250004|1101|43|month|43|43|504561
250005|1102|65|month|65|65|504561
250006|1103|40|annual|40|40|504561
250007|1104|0||0|0|504561
250008|1105|0||0|0|504561
250028|1101|20|MO|6|20|504568
250029|1102|||||504568
250030|1103|300||50|300|504568
250031|1104|||||504568
250032|1105|||||504568
250070|1101|39.35|month|n/a|n/a|504586
250071|1102|5.25%|hour|n/a|n/a|504586
250072|1103|400|intiation|n/a|n/a|504586
250073|1104|n/a|n/a|n/a|n/a|504586
250074|1105|n/a|n/a|n/a|n/a|504586
250121|1101|31.58|month|31.58|31.58|504605
250122|1103|0||||504605
250123|1104|0||||504605
250124|1105|0||||504605
250125|1101|26.00|Mo|3.50|26.00|504606
250126|1103|0|Mo|0|0|504606
250127|1104|0|Mo|0|0|504606
250128|1105|0|Mo|0|0|504606
250191|1101|23.50|Month|15.80|23.50|504620
250192|1103|300|one time|60|300|504620
250193|1104|NONE|N/A|N/A|N/A|504620
250194|1105|NONE|N/A|N/A|N/A|504620
250312|1101|9|month|na|na|504680
250313|1102|na|na|na|na|504680
250314|1103|5|1x|na|na|504680
250315|1104|na|na|na|na|504680
250316|1105|na|na|na|na|504680
250374|1101|27.00|Month|None|None|504693
250375|1102|None|None|None|None|504693
250376|1103|425.00|New Mem|None|None|504693
250377|1104|None||None|None|504693
250378|1105|None||None|None|504693
250603|1101|varies|month|18.50|81.66|504742
250604|1102|varies|month|2% gross|5% gross|504742
250605|1103|varies|type memb|12.50|20.00|504742
250606|1104|n/a|n/a|0|0|504742
250607|1105|n/a|n/a|0|0|504742
250626|1101|$38|month|38|38|504748
250627|1102|None||||504748
250628|1103|$225||||504748
250629|1104|None||||504748
250630|1105|None||||504748
