OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
111293|1101|$25.00|month|$6.00|$25.00|373032
111292|1103|$300.00|One-time fee|$60.00|$300.00|373032
111296|1105|N/A|N/A|N/A|N/A|373032
111295|1102|3.5%|N/A|N/A|N/A|373032
111294|1104|N/A|N/A|N/A|N/A|373032
101151|1103|$500.00|ONE TIME|$250.00|$500.00|364031
101155|1105|N/A|N/A|N/A|N/A|364031
101154|1102|5%|GROSS WAGES|5%|5%|364031
101153|1104|N/A|N/A|N/A|N/A|364031
101152|1101|$10.00|MONTH|$5.00|$10.00|364031
120859|1103|Range|Person|200|9224|381579
120863|1105|||||381579
120862|1102|||||381579
120861|1104|||||381579
120860|1101|Range|Year|200|4550|381579
133502|1103|$100||||388579
133506|1105|||||388579
133505|1102|||||388579
133504|1104|||||388579
133503|1101|$30|MONTH|||388579
107651|1103|500|Iniation|||369045
107655|1105|0|0|||369045
107654|1102|0|0|||369045
107653|1104|50|Transfer|||369045
107652|1101|0|Month|10.50|22.15|369045
121826|1103|150||0|0|382268
121830|1105|0||0|0|382268
121829|1102|0|Mo.|0|0|382268
121828|1104|0||0|0|382268
121827|1101|0|Mo.|50|61|382268
129159|1103|10.00|Member|None|None|384709
129163|1105|None|None|None|None|384709
129162|1102|None|None|None|None|384709
129161|1104|None|None|None|None|384709
129160|1101|1.45% of earnings|Month|$5.00|2.8 times avg hrly rate|384709
130391|1103|NA|NA|||385072
130395|1105|NA|NA|||385072
130394|1102|NA|NA|||385072
130393|1104|NA|NA|||385072
130392|1101|NA|NA|||385072
125767|1103|$50.00|new member|$50.00|$100.00|383840
125771|1105|n/a|n/a|n/a|n/a|383840
125770|1102|n/a|n/a|n/a|n/a|383840
125769|1104|n/a|n/a|n/a|n/a|383840
125768|1101|$7.00|member|$7.00|$66.20|383840
130052|1103|10|MBR|5|10|384954
130056|1105|N/A|N/A|N/A|N/A|384954
130055|1102|N/A|N/A|N/A|N/A|384954
130054|1104|N/A|N/A|N/A|N/A|384954
130053|1101|12.42|MONTH|5.00|12.42|384954
113722|1103|500||||376574
113726|1105|||||376574
113725|1102|3%|$1 EARNED|||376574
113724|1104|||||376574
113723|1101|27|MONTH|||376574
106037|1103|BY PROPERTY|NEW MEMBER|75.00|125.00|368653
106041|1105|N/A|N/A|N/A|N/A|368653
106040|1102|N/A|N/A|0|0|368653
106039|1104|N/A|N/A|N/A|N/A|368653
106038|1101|BY PROPERTY|MONTH|23.47|61.91|368653
118931|1103|300||||380499
118935|1105|||||380499
118934|1102|||||380499
118933|1104|||||380499
118932|1101|67.00|MONTH|||380499
113603|1103|1500|Individual|||376474
113607|1105|||||376474
113606|1102|1%|pay period|||376474
113605|1104|||||376474
113604|1101|4%|pay period|||376474
121114|1103|250|one time fee|125|1000|381831
121118|1105|0|NA|0|0|381831
121117|1102|4%|hours worked|4%|4%|381831
121116|1104|0|NA|0|0|381831
121115|1101|25|month|10|25|381831
129483|1103|700||||384820
129487|1105|||||384820
129486|1102|||||384820
129485|1104|||||384820
129484|1101|33|MONTH|||384820
126415|1103|0||15|175|384003
126419|1105|0||||384003
126418|1102|0||||384003
126417|1104|0||||384003
126416|1101|0|Month|14|72|384003
130671|1103|$150|Initiation|N/A|N/A|385193
130675|1105|N/A|N/A|N/A|N/A|385193
130674|1102|N/A|N/A|N/A|N/A|385193
130673|1104|$.50|Transfer|N/A|N/A|385193
130672|1101|SEE LINE 69|N/A|16.00|71.00|385193
119255|1103|N/A|N/A|34.75|200.00|380756
119259|1105|N/A|N/A|N/A|N/A|380756
119258|1102|N/A|N/A|N/A|N/A|380756
119257|1104|N/A|N/A|N/A|N/A|380756
119256|1101|N/A|N/A|23.95|61.00|380756
116551|1103|500||||379077
116555|1105|||||379077
116554|1102|||||379077
116553|1104|||||379077
116552|1101|26.00|M0NTH|||379077
114120|1103|4 WEEKS BASE PAY||||377052
114124|1105|||||377052
114123|1102|||||377052
114122|1104|1 1/3 GROSS||||377052
114121|1101|23% OF 1 DAY BASE|PAY|||377052
135261|1103|100|once|100|100|394040
135265|1105|n/a|n/a|n/a|n/a|394040
135264|1102|n/a|n/a|n/a|n/a|394040
135263|1104|0|n/a|n/a|n/a|394040
135262|1101|22.02-58.86|month|22.02|58.86|394040
135791|1103|||||395694
135795|1105|||||395694
135794|1102|||||395694
135793|1104|||||395694
135792|1101|79|MONTH|73.94|80.94|395694
107151|1103|250||||368945
107155|1105|N/A||||368945
107154|1102|N/A||||368945
107153|1104|25||||368945
107152|1101|40|month|||368945
132038|1103|20.00||||385477
132042|1105|||||385477
132041|1102|||||385477
132040|1104|||||385477
132039|1101|2 hours 
straight|Month|||385477
131199|1103|0|0|100|250|385308
131203|1105|0|0|0|0|385308
131202|1102|0|0|0|0|385308
131201|1104|0|0|0|0|385308
131200|1101|0|0|8|26|385308
126940|1103|25-500||||384194
126944|1105|||||384194
126943|1102|||||384194
126942|1104|||||384194
126941|1101|11-77|MONTH|||384194
121079|1103|NONE|NEW MEMBER|$100|$150|381801
121083|1105|NONE|NONE|NONE|NONE|381801
121082|1102|NONE|NONE|NONE|NONE|381801
121081|1104|NONE|NONE|NONE|NONE|381801
121080|1101|NONE|MONTH|$30|$82|381801
102711|1103|100|one time for local|100|100|366663
102715|1105|0|N/A|0|0|366663
102714|1102|2.5%|scale|2.5%|2.5$|366663
102713|1104|0|N/A|0|0|366663
102712|1101|170|year|170|170|366663
123615|1103|N/A||||382924
123619|1105|N/A||||382924
123618|1102|N/A||||382924
123617|1104|N/A||||382924
123616|1101|Vairous|Member|1.40|1.70|382924
134076|1103|25.00|YEAR|||390969
134080|1105|0||||390969
134079|1102|0||||390969
134078|1104|0||||390969
134077|1101|0|MONTH|79.50|109.50|390969
133472|1103|$20.00||||388498
133476|1105|0||||388498
133475|1102|0||||388498
133474|1104|0||||388498
133473|1101|2 HOURS STRAIGHT|MONTH|||388498
111557|1103|$5.00||||373085
111561|1105|||||373085
111560|1102|||||373085
111559|1104|||||373085
111558|1101|$2.00|MONTH|||373085
103589|1103|SEE ITEM 69|N/A|N/A|N/A|367671
103593|1105|N/A|N/A|N/A|N/A|367671
103592|1102|SEE ITEM 69|N/A|N/A|N/A|367671
103591|1104|N/A|N/A|N/A|N/A|367671
103590|1101|SEE ITEM 69|N/A|N/A|N/A|367671
132778|1103|$25.00|NEW MEMBER|N/A|N/A|386454
132782|1105|N/A|N/A|N/A|N/A|386454
132781|1102|N/A|N/A|N/A|N/A|386454
132780|1104|$0.50|MEMBER|N/A|N/A|386454
132779|1101|N/A|MONTH|$14.00|$80.00|386454
176434|1101|1.5% of wages|Week|0|0|439248
176438|1105|0|0|0|0|439248
176437|1104|0|0|0|0|439248
176436|1103|20% of wages|Week|0|0|439248
176435|1102|0|0|0|0|439248
116561|1103|$500|2008|||379096
116565|1105|||||379096
116564|1102|3%|GROSS PAY|||379096
116563|1104|||||379096
116562|1101|$27|MONTH|||379096
114810|1103|$30.00|MEMBER|||377554
114814|1105|N/A|N/A|||377554
114813|1102|N/A|N/A|||377554
114812|1104|N/A|NA/|||377554
114811|1101|2  HRS.
STRAIGHT|MONTH|||377554
128187|1103|100.00 - 200.00|Member|100.00|200.00|384500
128191|1105|0||||384500
128190|1102|0||||384500
128189|1104|0||||384500
128188|1101|42.00 - 47.00|Month|42.00|47.00|384500
101561|1103|152|one time|0|0|364539
101565|1105|0||0|0|364539
101564|1102|5%|hour|0|0|364539
101563|1104|0||0|0|364539
101562|1101|25.20|month|15.20|25.20|364539
104949|1103|75.00||||368311
104953|1105|||||368311
104952|1102|||||368311
104951|1104|||||368311
104950|1101|41.50|MONTH|38.90|41.50|368311
106612|1103|||63|350|368793
106616|1105|75|QUARTER|||368793
106615|1102|NONE||||368793
106614|1104|1|EA|||368793
