RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
493011|48106|0|232|||108|||0||917||||
468799|26703|||||3|||||||||
467004|592288|0|0|1312||8512|0|4620|258981||9244|0|0||9244
482634|13274|0|0|||13|||0||3||||
478806|7600|0|0|||0|||0||45300||||
466281|18489416|0|592501|0||0|0|0|0|279599|99183|0|0||16444
497280|11709|0|0|||0|||0||0||||
476839|7921|0||0||0|0|0|0||247770|0|0||17602
497227|35918|0|0|||0|||0||4681||||
476339|17687|0|0|||0|||0||0||||
496893|0|888808||0||0|46|0|0||287283|122507|50787||4620
492565|17926|0|0|||11|||0||0||||
493365|15647|0|4472|||0|||3850||5600||||
490708|11831|0|0|||0|||0||735||||
496437|30757|0|0|||0|||334||901||||
470931|268152|0|5000|0||0|3862|0|0||358|0|0|3000|358
469320|16032|0|0|||687|||0||0||||
492966|12726|0|0|||0|||0||0||||
478203|0|281035||0||17194|0|0|168509||5137|0|0||5137
490621|68169|0|0|||371|||0||0||||
486768|2406661|0|320000|0||4712|3|0|61530|0|14987|0|0|0|0
477664|787947|0|0|0||1314|0|0|3820|0|98698|0|0||421
481111|11215732|0|110433|0||36514|2766|0|0|0|184508|48103|214935|231516|83043
477362|56929|0|0|||2540|||0||4321||||
474247|30477|0|0|||0|||0||0||||
468436|51208|0|80000|||3630|||79479||14999||||
466802|16414|0|0|||2|||0||0||||
495309|197867|0||0||702|6441|7010|60749||6926|0|322||
464856|21810|0|0|||223|||0||940||||
477176|35653|0|0|||257|||0||752||||
465885|1245061|0|1662917|0||59616|0|0|8125||192311|0|0||0
496146|12809|203|0|||22|||0||42917||||
493343|159097|42145|2384|||18775|||0||11417||||
475815|48907|0|0|||555|||0||35632||||
491492|11933|0|0|||27|||0||609||||
476497|21070|0|0|||0|||0||0||||
500519|15811||||||||||||||
492075|6000|0|0|||101|||0||227445||||
479584|380777|0|0|0||2868|0|0|0||0|0|0|0|
496408|51449|0|0|||1294|||0||11755||||
495158|432123|0|156650|0||10296|0|20615|3550||50048|0|0||6128
468174|15407|0|0|||0|||0||800||||
473887|50800|0|0|||57|||0||177||||
464106|10600|0|0|||8|||10286||0||||
474325|64294|0|0|||654|||1810||0||||
478046|129667|0|119431|0||12948|9329|5537|759042|0|10255|143728|0||10255
490538|0|218294|0|||1233|||0||8862||||
476005|45150|0|0|||1868|||0||0||||
470983|28390|0|0|||204|||0||0||||
460414|12309|0|0|||3|||0||0||||
460380|59227|0|0|||1747|||0||24826||||
493670|170264||4140|||5554|||||716||||
483547|24167|0|0|||0|||0||656||||
470438|19282|0|0|||212|||0||280||||
471543|17472|0|0|||0|||0||0||||
498610|33969|||||2|||1075||121||||
491145|18125|0|0|||0|||0||0||||
489379|331937|0|0|0||18|0|4200|0|0|947|0|169||947
495841|0|59136|0|||224|||0||0||||
494969|19098|0|0|||202|||0||2351||||
482618|28574|0|0|||0|||0||8783||||
476804|20581||||||||||3477||||
493866|89010|0|0|||75|||0||738||||
471111|19569|||||20|||||||||
506589|70249|0|0|||0|||0||3686||||
475635|12350|0|0|||71|||140||0||||
510987|13877|0|0|||97|||0||0||||
495693|0|46646|0|||308|||0||0||||
497542|54278|0|0|||1209|||0||352||||
488727|0|21826|0|||88|||0||0||||
481283|34464|0|0|||63|||0||743||||
479069|20481|0|0|||192|||0||52||||
472724|97358|0|0|||2|||0||1171||||
478922|39810|0|0|||3|||0||4883||||
474354|19230|||||49|||||||||
470329|21805|0|0|||64|||0||622||||
502756|214796|1211|0|||1953|||875||1205||||
500467|122156|0|0|||23|||0||0||||
475026|165596|0|0|||1141|||0||4546||||
493913|39558|0|0|||30|||0||1309||||
479078|1454481|0||5889||11|1123|0|0||54700|0|0||11328
487342|259778|0||0||58|0|0|0||9461|0|0||9461
489101|45432|0|0|||4214|||1452||1478||||
491470|17074|0|0|||26|||0||0||||
474625|35324|0|0|||3306|||0||27822||||
489347|260668|0|0|0||2501|0|0|0|0|5691|0|0|0|5691
481485|356474|0|200000|0||173170|0|0|744743|115000|21098|9567|0||14769
472565|17436|||||49|||1135||408||||
476705|7218|0|0|||540|||0||0||||
464154|27557|0|0|||7|||0||0||||
492062|16888|0|0|||3|||0||2047||||
486307|38906|0|0|||59|||0||3155||||
472718|34205|||||231|||||||||
477747|38285053|0|11163575|0||337382|0|0|0||8289520|32138650|0|18955034|155641
472427|13364|0|0|||0|||0||2089||||
491262|14421|0|0|||0|||0||1118||||
495207|51272|0|0|||24|||0||602||||
478298|42217|0|0|||22|||0||15||||
469449|6410|0|0|||0|||0||0||||
486834|4417253|0||1658||9788|0|8268|118149||175489|53|0||122837
473717|19087|0|0|||0|||0||0||||
476548|0|9000|0|||449|||0||0||||
460684|20040|0|0|||37|||0||163||||
475392|21523|0|0|||802|||0||286||||
473456|539783|0|0|0||5476|0|2600|1360|0|64225|0|4635||12796
472356|1274|0|0|||351|||0||0||||
493568|71106|0|0|||1180|||0||150||||
473474|20016|0|0|||453|||0||992||||
481255|195149|0|0|||0|||1030||0||||
492914|35931|0||||114|||0||433||||
460745|14385|0|0|||0|||0||0||||
496566|42994|0|0|||338|||0||41||||
497283|15454|0|0|||0|||0||0||||
478534|42021|0|0|||818|||0||3539||||
496779|14109|||||51|||||114||||
492992|18627|0|0|||77|||0||23153||||
476929|253578|0|13625|0||17|0|12155|0||10688|0|5500|0|10688
471332|9946|0|0|||0|||0||0||||
492461|7962|0|0|||0|||0||0||||
498755|12887|||||109|||||||||
470378|54865|0|0|||470|||0||0||||
502367|20402|0|0|||401|||0||50||||
506386|0|3838453||0||39314|0|0|0||178160|2020405|599171||19002
466107|17006122|0|5594716|0|257477|966749|0|346223|0|0|356359|0|944|0|55521
463410|12432|0|0|||0|||7068||3750||||
476914|12322|0|0|||0|||0||12||||
469180|16062|0|0|||0|||0||0||||
471542|199587|0|0|||60|||0||0||||
491404|47139|0|0|||362|||0||0||||
492095|94509|0|0|||11|||0||600||||
482601|27266616|0|203084|11069||268486|23321|152129|174418||786719|0|0|1638234|72583
473427|3224|0|0|||0|||200||0||||
473549|20375|0|0|||13|||0||31753||||
475396|88260|0|0|||11|||175||3364||||
473676|59168|0|0|||0|||0||0||||
475830|49963|0|0|||0|||0||0||||
477437|212385|0||0||0|0|0|0|0|3299|0|82714|0|3299
471029|28648|0|0|||190|||0||0||||
501011|9595|0|0|||0|||0||0||||
471573|6131735|0|374460|0||36550|14860|0|198607|0|1169631|0|0||2788
468363|24407||||||||||57000||||
475381|15155|0|4150|||3658|||14579||208||||
476260|12723|0|0|||0|||0||0||||
467119|0|0|883138|0||70379|9820|357740|19176730|0|1016445|1622641|0|0|306425
502475|38400|0|0|||272|||0||0||||
472631|19484|0|0|||324|||0||400||||
481164|14101|0|0|||2|||0||0||||
468921|3323|0|0|||0|||0||0||||
466393|260311|0||543||5416|0|0|2080||4787|4704|0||4787
497469|14725|0|0|||0|||0||0||||
467252|298476|0|0|0||0|0|0|0||262|0|0|0|262
479981|0|252413||0||319|0|0|858202||183500|0|0||
498350|14489|0|0|||0|||600||454||||
507598|0|0||0||0|0|0|0||0|0|0||
473535|10607||||||||||14||||
496633|9886|0|0|||17|||0||5075||||
486635|11404|0|0|||17|||0||0||||
