OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
29193|FORD CREDIT|9987|0|725||9262|646306
29194|INTERNATIONAL UNION OF BRICKLAYERS|154000|0|7000||147000|646306
29196|National Bank of SC|133272|0|40656|0|92616|646425
29198|NONE|0|0|0|0|0|646553
29199|Xerox|43796||29134||14662|646763
29200|Banco Popular Puerto Rico||425000|1874||423126|646821
29201|COPIER CAPITAL LEASE|7475||6886||589|647035
29202|Loan Payable to WIT Federal Credit Union|20090||6856||13234|647047
29203|Loan Payable to Ford Credit|20589||6341||14248|647047
29204|Loan Payable to Ford Credit|17518||5098||12420|647047
29205|Loan Payable to Wells Fargo Dealer|16640||5144||11496|647047
29206|Loan Payable to WIT Federal Credit Union|15528||6082||9446|647047
29207|Amalgamated Bank|20000|334423|20000||334423|647062
29208|AMALGAMATED BANK|2517262||157152||2360110|647134
29209|Pitney Bowes Lease|17208|0|5639||11569|647175
29210|MA & NORTHERN NE DISTRICT COUNCIL|50000|0|0|50000|0|647223
29217|Loan - Prosper Bank|520471|0|27060||493411|647545
29222|Roofers Local 210 JATC|0|15000|4375||10625|647604
29223|Roofers Local 210 H&W|35000|0|35000||0|647604
29224|NOTE PAYABLE-FORD MOTOR|27785|0|11907|0|15878|647701
29225|IRS REFUND|0|6307|0|0|6307|647706
29227|Capital One Line of Credit|9865|10000|10149||9716|647905
29228|Western Security Bank|4269|0|4269|0|0|647935
29229|FORD CREDIT-F150 2012|6479|0|6479|0|0|647987
29230|FORD CREDIT-F150 2013(2)|19773|0|13182|0|6591|647987
29231|FORD CREDIT-F150 2013(1)|20758|0|20758|0|0|647987
29234|FORD CREDIT|14390||14390||0|648239
29235|Bank of the West|0|2343147|0|0|2343147|648248
29236|PNC Construction Loan|1036753|73667|60727||1049693|648258
29237|PA ISRP Loan|408646||30990||377656|648258
29238|PNC Reconstruction Loan|86667||86667||0|648258
29239|Ally Bank - Car Loan|3651|0|2573||1078|648472
29240|Credit Cards/Other-Net Change|2330||854||1476|648474
29241|ST Disability Insur Payable at Yr End|0|23516|||23516|648474
29243|0|0|0|0|0|0|648525
29244|0|0|0|0|0|0|648529
29245|Regions Bank|0|50000|7999||42001|648531
29246|UNITED BUSINESS BANK|0|185434|3646||181788|648538
29247|GMAC Financing|26715||4377|22338|0|648582
29248|GMAC Financing|29319||3169|26150|0|648582
29249|Salisbury Bank & Trust Co|871796|||293095|578701|648582
29250|NONE|0|0|0|0|0|648587
29251|None|0|0|0|0|0|648607
29252|Choice One|340060||39522||300538|648614
29253|HUNTING BANK|31154|0|31154||0|648636
29254|FORD CREDIT|0|31571|31571||0|648636
29255|Ally Bank -Chrysler|24497|0|24497|0|0|648639
29256|Lincoln Financial|28159|0|28159|0|0|648639
29257|Ford Credit|15123|0|15123|0|0|648639
29258|Ally Bank - GMC|0|41598|0|0|41598|648639
29259|None|0|0|0|0|0|648684
29260|0|0|0|0|0|0|648734
29261|Armstrong Bank Truck Loan|23580|0|7464|0|16116|648921
29262|FORD CREDIT|14365|0|6459|0|7906|648939
