RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
199529|||70860|||264648|0|0|0||63112||0|212177|1078810|110873|0|0|0|212737|352571|||||||||||199207|31358|111437
196485|||249||||||||||0|1500|0|0|0|||996|834|||||||||||179||0
197421|||5420||||||||||0|5215|0|0|0|||3495|203|||||||||||51||100
191423|||100||||||||||10673|5398|0|0|0|||909|0|||||||||||457||0
229047|||400||||||||||25126|3395|0|0|0|||1201|0|||||||||||438||0
219029|||350||||||||||27346|6752|0|500|0|||6755|0|||||||||||6210||155
212440|||3309||||||||||18785|9443||||||5543||||||||||||150||2675
202380|||1360|||242|1776|0|0||11723||243601|20618|0|25893|0|0|0|37018|120422|||||||||||30655|900|16769
222752|||4698||||||||||1876|1290|0|935|0|||15446|11343|||||||||||6269||2015
185605|||23390|||78410|0|0|0||27706||299047|92350|159139|79170|0|0|0|41950|143701|||||||||||168252|15570|25148
178874|||||||||||||10976|7265||||||1550|1699|||||||||||119||690
189636|||167||||||||||1492|3557||||||2755|9078|||||||||||4022||
197484|||175||||||||||4620|6957|190|0|0|||0|1454|||||||||||37||0
183924|||1590|||64136|206|0|833||15450||81446|159708|0|70471|0|0|0|25761|0|||||||||||31425|750|8089
205146|||590||||||||||9855|4021|0|75|0|||0|0|||||||||||534||275
204068|||2913||||||||||81880|24923|0|0|0|||8429|938|||||||||||9861||7555
192043|||0||||||||||5435|3351|0|0|0|||0|0|||||||||||1592||600
218178|||631||||||||||5285|16610|0|0|0|||18110|7689|||||||||||3743||3350
208746|||0||||||||||59814|11726|0|3789|0|||1954|0|||||||||||3987||0
184395|||4161||||||||||46684|13997|7126|1248||||23186|1759|||||||||||5405||639
211035|||30000|||0|0|0|89698||30291||243559|195688|0|92014|0|0|0|156857|216419|||||||||||62505|1047|114775
192888|||451||||||||||0|3240|0|0|0|||2070|2|||||||||||937||0
186957|||25725|||0|450|23422|0||0||241110|10892|0|17280|0|0|0|20113|14|||||||||||15391|739|1400
186571|||49098|||57841|0|0|0||28767||138079|108808|22166|490150|0|0|0|130020|47282|||||||||||83854|0|14175
