OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
30245|Discovery Federal Credit Union|1748|0|1748|0|0|667659
30246|Discovery Federal Credit Union|3922|0|3336|0|586|667659
30247|Burke And Herbert Line of Credit|249000|535873|536000||248873|667678
30252|Ford Motor Credit|14272||6410||7862|667689
30253|FORD MOTOR CREDIT|0|69482|69482|0|0|667710
30254|AMALGAMATED BANK CONSTRUCTION LOAN|0|7814584|0|0|7814584|667725
30255|NONE|0|0|0|0|0|667726
30256|LINE OF CREDIT - BANK OF AMERICA|1204686|0|243529|0|961157|667734
30257|IMCU Operating Loan $25,000 CD|2636|0|2636|0|0|667742
30258|IMCU 2010 Lincoln MKZ|1782|0|1782|0|0|667742
30259|Star Financial Line-Of-Credit (Bldng Collateral)|1842|0|1842|0|0|667742
30260|IMCU 2006 Buick Lucerne|2147|0|2147|0|0|667742
30261|IMCU 2016 Lincoln MKZ|0|24931|4689|0|20242|667742
30262|FORD EXPLORER AUTO LOAN|8342|0|6256|0|2086|667776
30263|FORD TAURUS AUTO LOAN|9045|0|5644|0|3401|667776
30264|GMC TERRAIN AUTO LOAN|13869|0|6553|0|7316|667776
30265|JEEP PATRIOT AUTO LOAN|9933|0|2874|0|7059|667776
30266|UNITED BUSINESS BANK|218058||106862||111196|667779
30267|ETTELSON- CADILLAC BUICK GMC|0|16993|2061|0|14932|667806
30268|NONE|0|0|0|0|0|667815
30269|N/A|0|0|0|0|0|667816
30270|total loan payable|0|0|0|0|0|667818
30271|Ford Motor Credit|13253|0|9125|0|4128|667822
30272|IBEW 146 CREDIT UNION|19392||5982||13410|667833
30273|NE TEAMSTERS FCU|30663|12927|13698||29892|667855
30274|KEY BANK|9986||4792||5194|667855
30275|LOANS PAYABLE - FIRST COMMONWEALTH|364253|0|19545|0|344708|667858
30276|LOANS PAYABLE - URA|165924|0|7489|0|158435|667858
30277|NONE|0|0|0|0|0|667867
30278|NONE|0|0|0|0|0|667874
30279|GEORGE ELKINS|2646979||144962||2502017|667875
30280|NONE|0|0|0|0|0|667876
30281|Auto Loans Payable|91061|0|54283|0|36778|667898
30282|NONE|0|0|0|0|0|667975
30283|Ford Credit|20139|530|20669|0|0|667982
30284|NONE|0|0|0|0|0|668015
30285|N/A|0|0|0|0|0|668018
30286|0|0|0|0|0|0|668086
30287|Ford Credit|0|64023|3698|0|60325|668088
30288|NONE|0|0|0|0|0|668119
30289|0|0|0|0|0|0|668129
30290|BANK OF AMERICA|6536391|0|432250|0|6104141|668135
30291|Union Yes Credit Union|72241|0|72241|0|0|668148
30292|AUTO LOAN|6689|0|6689|0|0|668160
30293|Bank of Labor|0|800000|17210|0|782790|668175
30294|TRADESMAN COMMUNITY CREDIT UNION|4661|0|4661|0|0|668252
30295|FORD MOTOR CREDIT COMPANY|9969|0|7007|0|2962|668275
30296|Elmira Savings Bank|361236||14482||346754|668279
30297|STREDC|465872||24358||441514|668279
30298|Avaya Capital|5221||1825||3396|668279
30299|RICHLAND BANK|18790|0|18790|0|0|668282
30300|NONE|0|0|0|0|0|668285
30301|NOEFCU|142059|61746|47207|0|156598|668286
30302|SUNTRUST - JOILET, IL|460435|0|273871|0|186564|668324
30303|FORD CREDIT|18653||14922||3731|668330
30304|AMERISERV|256264||15990||240274|668331
30305|COMMUNITY FIRST|34108||2927||31181|668331
30306|Old Second National Bank|1295673|0|70515|0|1225158|668352
30307|NONE|0|0|0|0|0|668373
30308|0|0|0|0|0|0|668381
30309|Everbank Commerical Finance|7174|0|1746|0|5428|668404
30310|NONE|0|0|0|0|0|668417
30312|Whitney National Bank line of credit|0|267570|||267570|668421
